genres,release_year,id,app_name
Adventure,2018,770380.0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
Casual,2018,770380.0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
Indie,2018,770380.0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
RPG,2018,770380.0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
Casual,2018,768880.0,Beach Rules
Indie,2018,768880.0,Beach Rules
Casual,2018,765320.0,Planetarium 2 - Zen Odyssey
Indie,2018,765320.0,Planetarium 2 - Zen Odyssey
Simulation,2018,765320.0,Planetarium 2 - Zen Odyssey
Adventure,2018,773650.0,The first thrust of God
Casual,2018,773650.0,The first thrust of God
Indie,2018,773650.0,The first thrust of God
Simulation,2018,773650.0,The first thrust of God
Strategy,2018,773650.0,The first thrust of God
Free to Play,2018,774271.0,SNOW - Starter Pack
Indie,2018,774271.0,SNOW - Starter Pack
Simulation,2018,774271.0,SNOW - Starter Pack
Sports,2018,774271.0,SNOW - Starter Pack
Adventure,2018,773690.0,The first thrust of God - All Aircrafts
Casual,2018,773690.0,The first thrust of God - All Aircrafts
Indie,2018,773690.0,The first thrust of God - All Aircrafts
Simulation,2018,773690.0,The first thrust of God - All Aircrafts
Strategy,2018,773690.0,The first thrust of God - All Aircrafts
Free to Play,2018,774279.0,SNOW - Lifetime Pack
Indie,2018,774279.0,SNOW - Lifetime Pack
Simulation,2018,774279.0,SNOW - Lifetime Pack
Sports,2018,774279.0,SNOW - Lifetime Pack
,,772590.0,After Life VR
,,640250.0,Kitty Hawk
Action,2018,768060.0,The Warrior Of Treasures
Adventure,2018,768060.0,The Warrior Of Treasures
Indie,2018,768060.0,The Warrior Of Treasures
,,711440.0,Mortars VR
Racing,2017,775880.0,RC Plane 3 - Canyon Scenario
Simulation,2017,775880.0,RC Plane 3 - Canyon Scenario
Sports,2017,775880.0,RC Plane 3 - Canyon Scenario
Racing,2017,775881.0,RC Plane 3 - F-53B
Simulation,2017,775881.0,RC Plane 3 - F-53B
Sports,2017,775881.0,RC Plane 3 - F-53B
Action,2018,653960.0,DinoBlaster
Indie,2018,653960.0,DinoBlaster
,2018,777910.0,Robotpencil Presents: Understanding 3D for Concept
Action,1997,282010.0,Carmageddon Max Pack
Indie,1997,282010.0,Carmageddon Max Pack
Racing,1997,282010.0,Carmageddon Max Pack
Action,1998,70.0,Half-Life
Action,2016,752360.0,Fallen Mage
Indie,2016,752360.0,Fallen Mage
RPG,2016,752360.0,Fallen Mage
,,594200.0,Don't Get Hit In The Face
Casual,2018,520680.0,Lost Cities
Indie,2018,520680.0,Lost Cities
Strategy,2018,520680.0,Lost Cities
Action,2018,690410.0,Twisted Enhanced Edition
Casual,2018,766850.0,Vaporwave Simulator
Indie,2018,766850.0,Vaporwave Simulator
Simulation,2018,766850.0,Vaporwave Simulator
Action,2018,413120.0,Tactics Forever
Casual,2018,413120.0,Tactics Forever
Indie,2018,413120.0,Tactics Forever
Massively Multiplayer,2018,413120.0,Tactics Forever
Simulation,2018,413120.0,Tactics Forever
Sports,2018,413120.0,Tactics Forever
Strategy,2018,413120.0,Tactics Forever
Adventure,2017,773120.0,Christmas Santa Troubles
Casual,2017,773120.0,Christmas Santa Troubles
Indie,2017,773120.0,Christmas Santa Troubles
,,680970.0,Kingdom Watcher
Action,2018,754360.0,Underdone - Soundtrack
Adventure,2018,754360.0,Underdone - Soundtrack
RPG,2018,754360.0,Underdone - Soundtrack
Adventure,2018,716110.0,Bitcoin Clicker
Casual,2018,716110.0,Bitcoin Clicker
Indie,2018,716110.0,Bitcoin Clicker
RPG,2018,716110.0,Bitcoin Clicker
Strategy,2006,1640.0,Disciples II: Gallean's Return
Strategy,2006,1630.0,Disciples II: Rise of the Elves
Action,2006,2400.0,The Ship: Murder Party
Indie,2006,2400.0,The Ship: Murder Party
RPG,2006,2400.0,The Ship: Murder Party
Strategy,,662570.0,United Tactics
Indie,2017,381620.0,Life of Rome
Massively Multiplayer,2017,381620.0,Life of Rome
RPG,2017,381620.0,Life of Rome
Early Access,2017,381620.0,Life of Rome
Adventure,,714020.0,Idle Adventure
Free to Play,,714020.0,Idle Adventure
RPG,,714020.0,Idle Adventure
Early Access,,714020.0,Idle Adventure
,,541930.0,Panoptic
Action,2017,759920.0,Souland
Indie,2017,759920.0,Souland
Strategy,2017,759920.0,Souland
Early Access,2017,759920.0,Souland
Action,2018,659780.0,Darkness and a Crowd
Adventure,2018,659780.0,Darkness and a Crowd
Indie,2018,659780.0,Darkness and a Crowd
RPG,2018,659780.0,Darkness and a Crowd
Strategy,2018,659780.0,Darkness and a Crowd
Action,2017,603280.0,TAROTICA VOO DOO
Adventure,2017,603280.0,TAROTICA VOO DOO
Indie,2017,603280.0,TAROTICA VOO DOO
RPG,2017,603280.0,TAROTICA VOO DOO
Casual,2017,753110.0,Chronicles of Vinland
Strategy,2017,753110.0,Chronicles of Vinland
Early Access,2017,753110.0,Chronicles of Vinland
Action,2017,753100.0,Orbitality
Indie,2017,753100.0,Orbitality
,,769350.0,Medicalholodeck Personal Version
Action,2017,764280.0,Atomic Adam: Episode 1
Adventure,2017,764280.0,Atomic Adam: Episode 1
Casual,2017,764280.0,Atomic Adam: Episode 1
,,374970.0,Golf Masters
Adventure,2017,758550.0,Mirt. Tales of the Cold Land. Chapter 2
Casual,2017,758550.0,Mirt. Tales of the Cold Land. Chapter 2
Free to Play,2017,758550.0,Mirt. Tales of the Cold Land. Chapter 2
Indie,2017,758550.0,Mirt. Tales of the Cold Land. Chapter 2
Action,2005,3800.0,Advent Rising
Indie,2006,1520.0,DEFCON
Strategy,2006,1520.0,DEFCON
Action,2006,2420.0,The Ship: Single Player
Indie,2006,2420.0,The Ship: Single Player
RPG,2006,2420.0,The Ship: Single Player
Indie,2006,4000.0,Garry's Mod
Simulation,2006,4000.0,Garry's Mod
Racing,2006,4230.0,RACE - The WTCC Game
Casual,2006,4900.0,Zen of Sudoku
Indie,2006,4900.0,Zen of Sudoku
Casual,2006,2520.0,Gumboy - Crazy Adventures™
Indie,2006,2520.0,Gumboy - Crazy Adventures™
Strategy,2003,6200.0,Ghost Master®
Strategy,2006,6210.0,Vegas: Make It Big™
Adventure,2006,6300.0,Dreamfall: The Longest Journey
RPG,2006,6300.0,Dreamfall: The Longest Journey
Racing,2006,2990.0,FlatOut 2™
Racing,2005,6220.0,FlatOut
Action,2007,6510.0,Lost Planet™: Extreme Condition
Adventure,2007,6510.0,Lost Planet™: Extreme Condition
Strategy,2006,3980.0,CivCity: Rome
RPG,2002,1700.0,Arx Fatalis
Action,2000,6310.0,The Longest Journey
Adventure,2000,6310.0,The Longest Journey
RPG,2000,6310.0,The Longest Journey
Strategy,2006,3990.0,Civilization IV®: Warlords
Strategy,2003,7610.0,Railroad Tycoon 3
Strategy,2006,7600.0,Sid Meier's Railroads!
,,,
Strategy,1998,7620.0,Railroad Tycoon II Platinum
Casual,2007,2540.0,RIP - Trilogy™
Indie,2007,2540.0,RIP - Trilogy™
Strategy,1995,7650.0,X-COM: Terror From the Deep
Action,2007,8000.0,Tomb Raider: Anniversary
Adventure,2007,8000.0,Tomb Raider: Anniversary
Action,2006,6550.0,Devil May Cry® 3 Special Edition
Action,2006,8200.0,Sam & Max 101: Culture Shock
Adventure,2006,8200.0,Sam & Max 101: Culture Shock
Action,1996,2290.0,Final DOOM
Indie,2007,2570.0,Vigil: Blood Bitterness™
RPG,2007,2570.0,Vigil: Blood Bitterness™
Action,2006,8210.0,Sam & Max 102: Situation: Comedy
Adventure,2006,8210.0,Sam & Max 102: Situation: Comedy
Action,1995,2280.0,Ultimate Doom
Action,1995,9160.0,Master Levels for Doom II
Action,1994,2300.0,DOOM II
Action,1994,2270.0,Wolfenstein 3D
Action,2001,9010.0,Return to Castle Wolfenstein
Action,1997,9040.0,QUAKE Mission Pack 1: Scourge of Armagon
Action,1993,9000.0,Spear of Destiny
Action,2003,3810.0,BloodRayne
Action,2007,9030.0,QUAKE Mission Pack 2: Dissolution of Eternity
Action,2007,2310.0,QUAKE
Strategy,2007,3230.0,Genesis Rising
Strategy,2006,9310.0,"Warhammer® 40,000: Dawn of War® – Winter Assault"
Action,2007,7670.0,BioShock™
RPG,2007,7670.0,BioShock™
Strategy,2006,4570.0,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition"
Strategy,2006,4580.0,"Warhammer® 40,000: Dawn of War® - Dark Crusade"
Strategy,2004,4760.0,Rome: Total War™ - Collection
Strategy,2006,4770.0,Rome: Total War™ - Alexander
Casual,2007,50970.0,Mystery Case Files: Madame Fate®
Action,1998,12170.0,Grand Theft Auto
Action,1999,12180.0,Grand Theft Auto 2
Action,2004,12130.0,Manhunt
Racing,2003,12160.0,Midnight Club 2
Action,2003,12150.0,Max Payne 2: The Fall of Max Payne
Action,2006,7000.0,Tomb Raider: Legend
Adventure,2006,7000.0,Tomb Raider: Legend
Action,2001,12140.0,Max Payne
Strategy,2008,17480.0,Command & Conquer: Red Alert 3
Casual,2007,12500.0,PuzzleQuest: Challenge of the Warlords
RPG,2007,12310.0,Culpa Innata
Casual,2007,12310.0,Culpa Innata
Adventure,2007,12310.0,Culpa Innata
Strategy,2007,12510.0,Prison Tycoon 3™: Lockdown
Action,2007,12530.0,Hunting Unlimited™ 2008
Adventure,2007,12530.0,Hunting Unlimited™ 2008
Strategy,2007,12530.0,Hunting Unlimited™ 2008
Racing,2007,12520.0,18 Wheels of Steel: American Long Haul
Action,2008,8100.0,Conflict: Denied Ops
Action,2007,2780.0,ARMA: Combat Operations
Simulation,2006,9730.0,Tycoon City: New York
Action,2006,9710.0,Desperados 2: Cooper's Revenge
Action,2007,9800.0,Death to Spies
Adventure,2007,9800.0,Death to Spies
Action,2006,9760.0,Act of War: High Treason
Simulation,2006,2700.0,RollerCoaster Tycoon® 3: Platinum
Strategy,2006,2700.0,RollerCoaster Tycoon® 3: Platinum
Action,2005,2710.0,Act of War: Direct Action
Action,2003,13200.0,Unreal 2: The Awakening
Action,1998,13250.0,Unreal Gold
Casual,2008,13000.0,Ninja Reflex: Steamworks Edition
Indie,2008,13000.0,Ninja Reflex: Steamworks Edition
Action,2003,13560.0,Tom Clancy's Splinter Cell®
Action,2004,13520.0,Far Cry®
Action,2000,13240.0,Unreal Tournament: Game of the Year Edition
Action,2006,13540.0,Tom Clancy's Rainbow Six® Vegas
Simulation,2005,15210.0,Silent Hunter® III
Casual,2008,16180.0,Virtual Villagers - The Secret City
Simulation,2008,16180.0,Virtual Villagers - The Secret City
Casual,2008,3520.0,Mystery P.I.™ - The Vegas Heist
Casual,2008,15970.0,Luxor
Casual,2008,15950.0,Reaxxion
Casual,2008,15960.0,Little Farm
Casual,2008,15900.0,7 Wonders II
Casual,2005,15910.0,Luxor Amun Rising
Casual,2007,15930.0,Luxor 3
Simulation,2007,15160.0,Petz® Horsez® 2
Casual,2005,15920.0,Luxor 2
Action,2007,15080.0,Rayman Raving Rabbids™
Adventure,2007,15080.0,Rayman Raving Rabbids™
Simulation,2007,15200.0,Silent Hunter®: Wolves of the Pacific
Simulation,2006,15320.0,IL-2 Sturmovik: 1946
Simulation,2008,15240.0,Silent Hunter®: Wolves of the Pacific U-Boat Missions
Adventure,2005,8310.0,Bone: Out From Boneville
Racing,2005,12600.0,Midnight Outlaw: 6 Hours to SunUp
Adventure,2006,8320.0,Bone: The Great Cow Race
Racing,2008,12590.0,Sprint Cars Road to Knoxville
,2008,12580.0,Dr. Daisy Pet Vet
Simulation,2007,12560.0,Ride! Carnival Tycoon
,2008,12570.0,Hot Dish
Casual,2007,12540.0,Mahjongg Investigations: Under Suspicion
Adventure,2008,11050.0,Dracula Origin
Sports,2008,10520.0,Beijing 2008™ - The Official Video Game of the Olympic Games
Adventure,2008,11040.0,Sherlock Holmes - Nemesis
RPG,2008,11040.0,Sherlock Holmes - Nemesis
Adventure,2008,19500.0,Eternity's Child
Indie,2008,19500.0,Eternity's Child
Simulation,2007,11260.0,Pacific Storm Allies
Strategy,2007,11260.0,Pacific Storm Allies
Action,2008,19200.0,Tank Universal
Indie,2008,19200.0,Tank Universal
Racing,2008,12360.0,FlatOut: Ultimate Carnage
Adventure,1998,15710.0,Oddworld: Abe's Exoddus®
Adventure,1997,15700.0,Oddworld: Abe's Oddysee®
Racing,2008,8660.0,GTR Evolution Expansion Pack for RACE 07
Strategy,2001,7770.0,X-COM: Enforcer
Strategy,1997,7660.0,X-COM: Apocalypse
Strategy,1993,7760.0,X-COM: UFO Defense
Action,2008,20510.0,S.T.A.L.K.E.R.: Clear Sky
RPG,2008,20510.0,S.T.A.L.K.E.R.: Clear Sky
Action,2008,17330.0,Crysis Warhead®
Action,2007,17300.0,Crysis
Strategy,1998,7730.0,X-COM: Interceptor
Action,2008,20900.0,The Witcher: Enhanced Edition Director's Cut
RPG,2008,20900.0,The Witcher: Enhanced Edition Director's Cut
Indie,2008,1530.0,Multiwinia
Racing,2008,8690.0,STCC - The Game 1 - Expansion Pack for RACE 07
Strategy,2008,17120.0,Children of the Nile: Alexandria
Simulation,2008,17120.0,Children of the Nile: Alexandria
Strategy,2008,16810.0,Sid Meier's Civilization IV: Colonization
Action,2003,19830.0,Tom Clancy's Rainbow Six® 3 Gold
Action,2008,21000.0,LEGO Batman
Adventure,2008,21000.0,LEGO Batman
Simulation,2008,4460.0,City Life 2008
Strategy,2008,4460.0,City Life 2008
RPG,2008,17140.0,Hinterland
Strategy,2008,17140.0,Hinterland
Action,2008,15390.0,Brothers in Arms: Hell's Highway™
Indie,2008,21300.0,Gravitron 2
Casual,2008,21300.0,Gravitron 2
Racing,2006,3050.0,Xpand Rally Xtreme
Strategy,2006,15380.0,Heroes of Might & Magic V: Hammers of Fate
Action,2005,19800.0,Brothers in Arms: Earned in Blood™
Strategy,2007,15370.0,Heroes of Might & Magic V: Tribes of the East
Strategy,2008,19930.0,The Settlers®: Rise Of An Empire Gold Edition
Casual,2007,15350.0,Brain Spa
Action,2002,19810.0,The Sum of All Fears
Casual,2008,3540.0,Peggle™ Nights
Indie,2008,22000.0,World of Goo
Action,2008,2820.0,X3: Terran Conflict
Simulation,2008,2820.0,X3: Terran Conflict
Strategy,2008,2820.0,X3: Terran Conflict
Action,2008,1230.0,Mare Nostrum
Casual,2008,18300.0,Spectraball
Indie,2008,18300.0,Spectraball
Indie,2008,20200.0,Galactic Bowling
Casual,2008,20200.0,Galactic Bowling
Sports,2008,20200.0,Galactic Bowling
Action,2008,12200.0,Bully: Scholarship Edition
Adventure,2008,12200.0,Bully: Scholarship Edition
Action,2008,19900.0,Far Cry® 2: Fortune's Edition
Action,2008,11240.0,Space Trader: Merchant Marine
Indie,2008,11240.0,Space Trader: Merchant Marine
Strategy,2008,11240.0,Space Trader: Merchant Marine
Simulation,2009,256522.0,PRR Wagon Pack 01
Simulation,2009,275144.0,"Class 421 London South East ""Jaffa Cake"""
Simulation,2009,256521.0,ATSF Wagon Pack 01
Simulation,2009,222569.0,GP20 Union Pacific Add-on Livery
Simulation,2009,256535.0,UK Van Wagon Pack
Simulation,2009,256611.0,CSX SD70MAC Add-on Livery
Simulation,2009,256576.0,CSX ES44AC Add-on Livery
Action,2009,9480.0,Saints Row 2
Action,2008,17470.0,Dead Space
RPG,2008,12770.0,Rise of the Argonauts
Action,2009,17410.0,Mirror's Edge™
Adventure,2009,17410.0,Mirror's Edge™
Indie,2008,18500.0,Defense Grid: The Awakening
Strategy,2008,18500.0,Defense Grid: The Awakening
Action,2009,16450.0,F.E.A.R. 2: Project Origin
Strategy,2008,15400.0,Harvest: Massive Encounter
Indie,2008,15400.0,Harvest: Massive Encounter
Indie,2007,18600.0,Mayhem Intergalactic
Strategy,2007,18600.0,Mayhem Intergalactic
Action,2009,11340.0,Larva Mortus
Indie,2009,11340.0,Larva Mortus
Strategy,2005,25830.0,Knights of Honor
Action,2009,23460.0,Ceville
Adventure,2009,23460.0,Ceville
Strategy,2009,23460.0,Ceville
Strategy,2009,10600.0,Empire: Total War™ - Special Forces Units & Bonus Content
Action,2009,21010.0,Watchmen: The End is Nigh
Action,2007,22180.0,Penumbra Overture
Adventure,2007,22180.0,Penumbra Overture
Indie,2007,22180.0,Penumbra Overture
Action,2007,13210.0,Unreal Tournament 3 Black
RPG,2009,12640.0,Drakensang
Casual,2009,21600.0,Age of Booty™
Strategy,2009,21600.0,Age of Booty™
Indie,2008,27020.0,The Graveyard
Simulation,2008,27020.0,The Graveyard
Racing,2009,24740.0,Burnout Paradise: The Ultimate Box
Action,2009,90047.0,Zombie Master
Action,2009,26000.0,The Maw
Indie,2009,26000.0,The Maw
Action,2009,26006.0,The Maw: River Redirect
Indie,2009,26006.0,The Maw: River Redirect
Action,2009,26005.0,The Maw: Brute Force
Indie,2009,26005.0,The Maw: Brute Force
Casual,2009,11330.0,Obulis
Indie,2009,11330.0,Obulis
Indie,2009,27800.0,Space Giraffe
Simulation,2009,9850.0,Codename: Panzers - Cold War
Strategy,2009,9850.0,Codename: Panzers - Cold War
Casual,2009,3600.0,Escape Rosecliff Island
RPG,2006,29580.0,Guild Wars Nightfall
Massively Multiplayer,2006,29580.0,Guild Wars Nightfall
RPG,2005,29540.0,Guild Wars
Massively Multiplayer,2005,29540.0,Guild Wars
RPG,2006,29560.0,Guild Wars Factions
Massively Multiplayer,2006,29560.0,Guild Wars Factions
Massively Multiplayer,2008,29570.0,Guild Wars Trilogy
RPG,2008,29570.0,Guild Wars Trilogy
Casual,2009,23700.0,Puzzle Kingdoms
Casual,2009,16060.0,Samantha Swift and the Golden Touch
RPG,2009,1930.0,Two Worlds Epic Edition
Strategy,2009,18470.0,Helldorado
Action,2009,7510.0,X-Blades
Adventure,2009,7510.0,X-Blades
RPG,2009,7510.0,X-Blades
Action,2009,22200.0,Zeno Clash
Indie,2009,22200.0,Zeno Clash
Indie,2009,26007.0,The Maw: Speeder Lane
RPG,2008,25900.0,King's Bounty: The Legend
Strategy,2008,25900.0,King's Bounty: The Legend
Casual,2009,16200.0,Virtual Families
Simulation,2009,16200.0,Virtual Families
Racing,2009,7840.0,Death Track®: Resurrection
RPG,2005,8890.0,Freedom Force vs. the Third Reich
Strategy,2005,8890.0,Freedom Force vs. the Third Reich
RPG,2002,8880.0,Freedom Force
Strategy,2002,8880.0,Freedom Force
Indie,2009,34500.0,Light of Altair
Simulation,2009,34500.0,Light of Altair
Strategy,2009,34500.0,Light of Altair
Action,2009,1280.0,Darkest Hour: Europe '44-'45
Simulation,2009,1280.0,Darkest Hour: Europe '44-'45
Action,2009,10150.0,Prototype™
Adventure,2009,10150.0,Prototype™
Adventure,2009,29160.0,Blueberry Garden
Indie,2009,29160.0,Blueberry Garden
Strategy,2004,12470.0,Port Royale 2
,2006,22340.0,Call of Cthulhu®: Dark Corners of the Earth
RPG,2007,22330.0,The Elder Scrolls IV: Oblivion® Game of the Year Edition
RPG,2002,22320.0,The Elder Scrolls III: Morrowind® Game of the Year Edition
,2009,900883.0,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe
Adventure,2007,12440.0,Ankh 2: Heart of Osiris
Simulation,1999,32710.0,Armored Fist 3
Simulation,1998,32740.0,MiG-29 Fulcrum
Strategy,2008,12460.0,BC Kings
Action,2009,21980.0,Call of Juarez®: Bound in Blood
Adventure,2007,31860.0,Nancy Drew®: Legend of the Crystal Skull
Adventure,2006,31900.0,Nancy Drew®: The Creature of Kapu Cave
Adventure,2008,31920.0,Nancy Drew®: The Phantom of Venice
Adventure,2007,31930.0,Nancy Drew®: The White Wolf of Icicle Creek
Casual,2008,35800.0,BRAINPIPE: A Plunge to Unhumanity
Indie,2008,35800.0,BRAINPIPE: A Plunge to Unhumanity
Simulation,2009,12690.0,Hunting Unlimited 2010
Sports,2009,12690.0,Hunting Unlimited 2010
Adventure,2009,31170.0,Tales of Monkey Island Complete Pack
Action,2009,21660.0,Street Fighter® IV
Action,2007,6080.0,Thrillville®: Off the Rails™
Adventure,2007,6080.0,Thrillville®: Off the Rails™
Racing,2007,6080.0,Thrillville®: Off the Rails™
Simulation,2007,6080.0,Thrillville®: Off the Rails™
Strategy,2007,6080.0,Thrillville®: Off the Rails™
Adventure,1992,6010.0,Indiana Jones® and the Fate of Atlantis™
Action,2003,6090.0,Armed and Dangerous®
Action,2005,6060.0,"Star Wars: Battlefront 2 (Classic, 2005)"
Adventure,1989,32310.0,Indiana Jones® and the Last Crusade™
Action,2008,32330.0,LEGO® Indiana Jones™: The Original Adventures
Adventure,2008,32330.0,LEGO® Indiana Jones™: The Original Adventures
Adventure,2009,32360.0,The Secret of Monkey Island: Special Edition
Strategy,2008,35300.0,Warfare
Action,2009,35310.0,Clutch
Racing,2009,35310.0,Clutch
Adventure,2009,31980.0,Nancy Drew®: Ransom of the Seven Ships
Adventure,2009,31990.0,Nancy Drew®: Ransom of the Seven Ships Demo
Sports,2006,10140.0,3D Ultra™ Minigolf Adventures
Adventure,2006,10100.0,King's Quest™ Collection
Action,2007,10130.0,TimeShift™
Adventure,2006,10110.0,Space Quest™ Collection
Action,2009,1256.0,Killing Floor Outbreak Character Pack
Action,2008,10120.0,Aces of the Galaxy™
Casual,2008,10120.0,Aces of the Galaxy™
Simulation,2009,33520.0,Tropico Reloaded
Strategy,2009,33520.0,Tropico Reloaded
Casual,2009,3610.0,Mystery P.I. - Lost in Los Angeles
Action,2008,21680.0,Bionic Commando: Rearmed
Action,2009,21670.0,Bionic Commando
Adventure,2009,21670.0,Bionic Commando
Action,2009,21030.0,Watchmen: The End is Nigh Part 2
Action,2009,36000.0,Foreign Legion: Buckets of Blood
Indie,2009,36000.0,Foreign Legion: Buckets of Blood
Adventure,2003,32370.0,STAR WARS™ - Knights of the Old Republic™
RPG,2003,32370.0,STAR WARS™ - Knights of the Old Republic™
Indie,2009,29180.0,Osmos
Casual,2009,29180.0,Osmos
RPG,1998,38410.0,Fallout 2: A Post Nuclear Role Playing Game
Strategy,2001,38420.0,Fallout Tactics: Brotherhood of Steel
Action,1999,38430.0,Kingpin — Life of Crime
,2000,38440.0,Sacrifice
Action,2009,35050.0,Mini Ninjas Demo
Adventure,2009,35050.0,Mini Ninjas Demo
Adventure,2009,31180.0,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay
Casual,2009,37960.0,Jewel Quest Pack
Casual,2009,38000.0,Mahjong Quest Collection
Adventure,2009,37400.0,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack"
Indie,2009,37400.0,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack"
Action,2005,13570.0,Tom Clancy's Splinter Cell Chaos Theory®
Action,2009,11390.0,Crash Time 2
Racing,2009,11390.0,Crash Time 2
Strategy,2009,34420.0,XIII Century – Gold Edition
Simulation,2009,43100.0,World of Zoo
Simulation,2009,33730.0,18 Wheels of Steel: Extreme Trucker
Action,2009,35000.0,Mini Ninjas
Adventure,2009,35000.0,Mini Ninjas
Casual,2009,39392.0,Freeze Tag Fun Pack #2
Casual,1999,39391.0,Freeze Tag Fun Pack #1
Adventure,2009,37600.0,Windosill
Casual,2009,37600.0,Windosill
Indie,2009,37600.0,Windosill
Simulation,2009,24029.0,Train Simulator: Colton & Northern Route Add-On
Adventure,2009,32140.0,Midnight Mysteries
Casual,2009,32140.0,Midnight Mysteries
Adventure,2009,31190.0,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan
Action,2009,32770.0,Joint Operations: Combined Arms Gold
Simulation,2009,208306.0,Train Simulator: US Loco & Asset Pack
Simulation,2009,37300.0,DinerTown Tycoon
Simulation,2009,208300.0,Train Simulator: European Loco & Asset Pack
RPG,2009,40300.0,Risen
Casual,2009,35070.0,Flora's Fruit Farm
Strategy,2009,10606.0,Empire: Total War™ - The Warpath Campaign
Adventure,2009,40700.0,Machinarium
Indie,2009,40700.0,Machinarium
Action,2007,24840.0,Medal of Honor: Airborne
Racing,2009,24870.0,Need for Speed: Shift
RPG,2009,41500.0,Torchlight
Strategy,2009,24800.0,Command & Conquer: Red Alert 3 - Uprising
Strategy,2009,901735.0,The Stronghold Collection
Strategy,2009,42800.0,East India Company: Privateer
Action,2009,39560.0,Painkiller: Resurrection
RPG,2009,39550.0,SpellForce 2 - Anniversary Edition
Strategy,2009,39550.0,SpellForce 2 - Anniversary Edition
Adventure,2009,40330.0,Secret Files: Tunguska
Strategy,2009,40320.0,Rush for Berlin Gold
Adventure,2009,31200.0,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood
Strategy,2009,3130.0,Men of War: Red Tide
Action,2009,41100.0,Hammerfight
Indie,2009,41100.0,Hammerfight
Action,2009,39540.0,SpellForce - Platinum Edition
RPG,2009,39540.0,SpellForce - Platinum Edition
Strategy,2005,34640.0,Massive Assault: Phantom Renaissance
Strategy,2003,34630.0,Massive Assault
,2009,42200.0,Nancy Drew® Dossier: Resorting to Danger!
Action,2009,41000.0,Serious Sam HD: The First Encounter
Indie,2009,41000.0,Serious Sam HD: The First Encounter
Adventure,2009,40340.0,Secret Files 2: Puritas Cordis
RPG,2009,17450.0,Dragon Age: Origins
Action,2009,37100.0,Aztaka
RPG,2009,37100.0,Aztaka
Indie,2009,37100.0,Aztaka
Indie,2009,37500.0,Magnetis
Casual,2009,37500.0,Magnetis
Strategy,2009,42810.0,For The Glory: A Europa Universalis Game
Action,2009,10180.0,Call of Duty®: Modern Warfare® 2
Adventure,2009,32440.0,LEGO® Star Wars™ - The Complete Saga
RPG,2007,11450.0,Overlord™
RPG,2008,12710.0,Overlord™: Raising Hell
Strategy,2007,24790.0,Command & Conquer 3: Tiberium Wars
